0201000912Srikakulam                  
0202305912    88337    61921    27832    16117
0202306912    10399     7251     3606     2167
0202307912      210       80      100       30
0202308912      210       60      130       20
0202309912       50       10       30       10
0202310912       20       10       10        0
0202311912       60       10       30        0
0202315912    55517    52357    29637    27417
0202316912    62627    59317    31377    29127
0202332912    13575     5076     6827     2569
0202340912   957021   779903   534810   435599
0202341912   222833   179823   118603    95973
0202342912   146861   114536    93479    74283
0202343912    58780    43580    48780    37150
0202344912    16800    11470    14190     9710
0202345912     4840     3230     3570     2420
0202346912     1890     1370     1260      950
0202347912     1970     1500     1340      960
0202348912     1400     1180     1000      830
0202349912     1180      940      850      680
0202350912      520      430      370      320
0202351912      510      360      300      190
0202352912      260      200      150      100
0202353912      180      140      120      110
0202354912       80       60       30       20
0202355912      570      470      330      270
0202359912     6450     6270     3550     3450
0202360912   128350   106910    25500    22410
0202361912       90       60       10       10
0202362912      310      260       40       30
0202363912      890      730      200      180
0202364912     2430     2020      480      420
0202365912     3560     2940      760      620
0202366912     5070     4080      920      750
0202367912     9430     7800     2000     1720
0202368912    12180    10070     2620     3720
0202369912    21200    17420     4110     3670
0202370912    14690    12260     2770     2520
0202371912    27730    23340     5220     4620
0202372912    11780     9980     2350     2050
0202373912    11290     9720     2390     2110
0202374912     3320     8180      640      570
0202375912     4190     3380      940      820
0202379912      190      150       50       30
0202380912    12744    11294     3960     3610
0202381912       30       30       10       10
0202382912      620      550       50       40
0202383912     1620     1390      270      220
0202384912     1724     1534      440      420
0202385912     1940     1800      500      480
0202386912     1540     1390      470      440
0202387912     1240     1100      460      440
0202388912     1360     1160      510     2040
0202389912      990      890      390      370
0202390912      510      440      260      210
0202391912      560      480      260      230
0202392912      280      270      130      130
0202393912      140      120       90       70
0202394912       30       20       20       10
0202395912      110       70       80       40
0202399912       50       50       20       20
0202415912    10527     6733     7974     5622
0202600912   507184   495400
0202601912   456082   379582
0202602912   460717   383091
0202607912    38250    31555
0202608912   426520   357880
0202609912    10095     8175
0202610912    13075    11000
0202611912     6905     6405
0202612912      480      360
0202613912    10940     5985
0202614912     2035     1305
0202615912     5410     3120
0202616912     1535     1000
0202617912      240      150
0202618912     2145     1810
0202619912    20900    18260
